"","strains","rhamn3cats","rhamn2cats","rhamn3catsCols","rhamn2catsCols"
"1","PA14A",2,1,"#ffaa73","#ff732b"
"2","PA14B",2,1,"#ffaa73","#ff732b"
"3","F22031",2,1,"#ffaa73","#ff732b"
"4","F30658",2,1,"#ffaa73","#ff732b"
"5","F34365",2,1,"#ffaa73","#ff732b"
"6","F63912",0,0,"#915cff","#2b7fff"
"7","F9670",2,1,"#ffaa73","#ff732b"
"8","H27930",0,0,"#915cff","#2b7fff"
"9","H47921",2,1,"#ffaa73","#ff732b"
"10","H5708",1,1,"#45ffcd","#ff732b"
"11","M1608",0,0,"#915cff","#2b7fff"
"12","M37351",1,1,"#45ffcd","#ff732b"
"13","M6075",1,1,"#45ffcd","#ff732b"
"14","M74707",2,1,"#ffaa73","#ff732b"
"15","S86968",0,0,"#915cff","#2b7fff"
"16","T38079",2,1,"#ffaa73","#ff732b"
"17","T52373",2,1,"#ffaa73","#ff732b"
"18","T6313",2,1,"#ffaa73","#ff732b"
"19","T63266",1,1,"#45ffcd","#ff732b"
"20","W16407",1,1,"#45ffcd","#ff732b"
"21","W25637",2,1,"#ffaa73","#ff732b"
"22","W36662",0,0,"#915cff","#2b7fff"
"23","W45909",2,1,"#ffaa73","#ff732b"
"24","W60856",0,0,"#915cff","#2b7fff"
"25","W70332",1,1,"#45ffcd","#ff732b"
"26","W91453",2,1,"#ffaa73","#ff732b"
"27","X78812",2,1,"#ffaa73","#ff732b"
"28","X9820",2,1,"#ffaa73","#ff732b"
