"","Group","N-Acetyl-L-glutamate 5-semialdehyde","1-Aminocyclopropane-1-carboxylate","1-Pyrroline-4-hydroxy-2-carboxylate 3_?","2-Acetyl-aminoadipate_?","2-Amino-6-oxopimelate","2-Aminoacrylate","2-aminoadipate-6-semialdehyde","2-Aminoadipate 1_?","2-Deoxy-D-ribose 1-phosphate","2,6-Diaminoheptanedioate 1_?","2,6-Diaminoheptanedioate 1","2.3-Dihydrozy-2-methylpentanoate 2","3-Amino-isobutanoate 1_?","3-Methyl-2-oxopentanoate 1_?","4-Acetylaminobutanal_?","4-Amino-4-cyanobutanoic acid_?","3-Amino-isobutanoate 1","5-Methylthioadenosine","Pyrroline-3-hydroxy-5-carboxylate 2","Acetolactate_?","Acetyl-2, 6-diaminopimelate","Acetylhomoserine 2","Acetylmuramate","Acetylornithine","Adenine","deoxyguanosine 1","AICAR","alpha-Aminopropiononitrile","Anthranilate 1","Arginine","aspartate","alanine 1","Carbamoyl-L-aspartate","Homo-cisaconitate 2","Cis-aconitate","Citrate","Citrulline","Cysteine","d-ala-d-ala 2_?","deoxyguanosine 1_?","Deoxyribose 2","Dimethylmalate 1_?","Erithro-3-Methylmalate 2","erythro-4-Hydroxyglutamate","Ethyl malate 2_?","Formyl-methionine","Fumarate","Galactono-1,4-lactone","Glucose_?","glutamate","glutamine","Glutamylcysteine_?","gly","Glycerate","Guanosine","Hexose phosphates","Histidine","Homo-cisaconitate 2_?","Methylcitrate 1","homoserine 2_?","Homovanillate_?","Hydroxyectoine_?","hypoxanthine","Isopropylmalate","Isopropylmaleate","ketoglutarate","lactate","Leucine","lysine","malate","Methylglyoxal_?","methylmaleate 1","d-ala-d-ala 2","Norepinephrine","Ornithine","PABA 2_?","Phenylalanine","Phosphoenolpyruvate","proline","Pyrrole-2-carboxylate","Pyrroline-3-hydroxy-5-carboxylate 2_?","Pyruvate","S-Adenosylmethionine","serine_?","succinate","succinate semialdehyde 1","Succinyl-LL-2,6-diaminopimelate 1","Tartronate semialdehyde_?","Threonine 1","tryptophane","Tyramine_?","Tyrosine","UDP-N-acetylmuramate","valine","Aminobutyraldehyde","Aspartate 4-semialdehyde","2-Dehydro-3-deoxy-L-rhamnonate 3","glyceraldehyde3p","hexose diphosphate","pentose 5-phosphate","Sedoheptulose 7-phosphate 1"
"PA14A_1","PA14A",9699.53347267152,475080.719898561,19804.7945737916,531.990119934088,53362.3581829834,14473.8368184357,30261.8358193359,13241.2688920746,3014.80215281677,NA,11168.6839477386,3060.40728424073,20881.4665816345,6575.39005297088,13606.6093138123,NA,27630.8910762939,26566.6488014679,664729.134567049,1432.18413803101,11954.4463836976,189848.443397355,662.701632751465,4985.68307815551,29219.5965509949,3293.13923420715,10830.3285196839,15440.6234237976,9791.39095452883,20189.4235550995,173728.562673378,280727.378945862,7798.97651303101,845.473972915651,4951.61805255127,102620.048956467,86239.1754147641,9642.57193807983,NA,427.368730194094,7056.34864149475,NA,8553.21419993592,26258.2909145203,15273.7334226074,7240.29449824523,1630.46460731506,68321.7049060059,3279.67486268616,664231.100056061,4253.88648020935,6218.59662933351,105730.263764923,45732.7486980362,1356.02872447205,187505.946935936,15449.8890062866,1117.45771638489,4712.70876312256,12582.6831257324,615.966747573851,9638.4424424133,3572.8833210678,25870.7095281677,3101.16422710419,22287.9795289078,15780.059413765,295018.293528564,14139.6411953278,10065.7339237213,539.442390655517,1266.47348036194,37607.3447449036,2139.34844999695,20293.5096309814,2105.42040594482,120437.771858948,1436.217875,44363.753005249,12700.8871599889,65633.1248734131,3590.01814408875,5316.60117787172,911059.366221925,4403.38689459229,5985.58696668243,18757.3820188293,1671.42182718658,89772.8679670105,12410.5222062836,3615.5960776062,42534.3716998901,NA,212886.237995606,8635.37612951659,3050.85918800354,18752.3718115692,184479.635689316,5782.22398295593,72041.555274498,170123.197545883
"PA14A_2","PA14A",10096.1713689575,595127.450119995,21196.1833189545,234.863203033446,62254.301784851,16309.577393982,39980.2212868653,15533.0779394073,2741.11511138916,NA,12213.7524772644,3615.86533726502,25635.404027008,6915.27731040954,15696.1981048584,NA,29776.9770073243,34790.0758368682,827035.108981155,1933.21435735321,12645.2208411407,255936.538691635,951.565994781493,6239.07896141051,18708.996950531,5157.17505643463,8044.53437699889,15327.0664848022,13969.6916636962,18462.9886633911,202434.456422364,238654.683260895,9166.25654617311,1100.27170335388,6312.13369830322,119899.592165802,77185.6408596496,15315.5413374329,209.536275192256,NA,9291.98179568483,463.537140411377,8992.62354852295,27210.3486514587,15721.133019104,8613.70880137634,1586.89449659729,79650.1136113434,2882.11244561768,812640.478870429,4962.97899082947,7691.26090783695,76182.9799936218,54345.2479627838,991.479462219239,245882.023112015,7346.3017113037,888.881452705385,5707.85397232055,12007.5739711456,1087.96178791809,10240.4181960449,5484.05504266358,31920.3955838013,3726.5482972107,27486.5404640884,3809.52644046021,237067.218575806,14388.0662840881,8023.9907698822,975.474504226684,1862.31318597412,47749.5871366654,1460.11349121094,18587.0072501831,2676.83601611328,142589.597558533,1397.49949279785,55034.6976505736,13458.0033405584,31390.8553679504,4187.85509407044,6940.55429209897,860942.366794433,4431.76038015747,7742.68677452087,24484.4753433685,1160.27216758728,78377.7790706178,11701.603773056,2513.39282699585,41708.3380995178,NA,233854.257404297,8293.92709582522,3055.53202986145,19315.7445779724,239292.208736847,12001.5419859848,93733.623791687,221480.82973835
"PA14A_3","PA14A",8137.73743365478,475136.257400299,18623.3201362457,NA,49481.8729082031,15174.3085936737,37283.0895249024,11571.6416997223,1758.79688299561,NA,11107.6888033295,2884.25793417358,20074.3550508728,7939.71860580445,15036.4225055084,288.848230926512,27683.8806891175,29184.0659450531,647138.919659179,2000.2237114563,9553.75338336181,185100.61767041,605.496480590821,4030.15200422668,16366.8952592926,4331.42284953308,10390.307675354,29398.6296056823,14695.9337895508,15864.5161645203,162974.123753143,203815.862737396,8021.91997457888,706.774532699585,5380.72422146607,95370.8321890564,62060.6363043824,10451.7298737793,424.933806022644,236.786860473634,6512.33822891998,421.551646469115,8284.81465914917,23537.2340031433,16109.7823921966,6934.71419346618,1898.31233225251,66505.0044451065,2800.40886950683,648882.18901741,3815.45899519348,5225.47961906432,58708.0059016036,57937.5192172776,1468.36126016235,181154.924398689,10376.5963460083,1104.13071969604,4662.51768940734,8436.46471350097,733.92149772644,6519.39312269595,3282.00194540406,27158.0662187958,2596.39257479859,22655.678131134,3905.59061965942,281613.605831788,13304.4839965515,6715.08839790344,726.142468933107,1627.929983284,39149.2755950775,1252.81923506165,15896.5888332519,3778.20559387208,109487.049404968,1263.3316875,40932.155448349,15686.6077250154,36619.9388410339,3326.73142718506,5608.52077816772,899882.186810669,3995.48198591613,6023.09575991821,14600.2244603119,1127.13971354675,70530.9755293884,9714.06763485717,2511.85418974304,35018.8966757661,NA,206054.009982422,8022.14025830079,3152.45137353516,19544.1796600952,178959.63650013,4951.10445639801,69400.3808933029,162451.913766434
"PA14B_4","PA14B",5207.93622550965,634478.637846009,31710.9240295105,541.425500350952,60588.6280037843,17325.4040032044,49077.0372738037,18642.2097223205,2436.94511487579,354.600021194449,13519.6311712342,4003.69991756439,29159.5200826111,7137.35471394349,15084.4116177674,NA,21797.9832653198,31921.6707177124,876442.619704896,1518.60261380005,10851.7075783081,119267.277923127,1273.5482328186,5347.7360632477,15117.0327325287,2421.86821263122,9996.76098907472,14102.9380200501,16562.6411429443,18256.8739606476,202377.181589844,262775.044930603,9036.76898861694,1248.87878739929,5760.02901091003,114677.791164886,91548.255997986,11842.5798577728,704.242563835154,237.557596801755,13677.8216724854,274.172642181396,7922.13029840088,40206.7790667725,14630.9150376816,8552.71672344971,1475.76711898041,81778.3328714752,2837.77471617889,859256.90117772,7767.28753164673,10045.5929255218,82477.937071251,55466.0085365295,1158.82793814087,257056.503244682,7395.3929050293,999.223541519165,7033.7380466156,14171.1673948365,1076.40096492004,10039.4476392975,3713.14693255615,26561.5897796631,3701.17349572754,26150.0217249756,3598.29900579834,256898.918578735,14145.2791243896,8505.62774947357,990.353486351013,1607.50400978088,44505.2519317779,1442.25186206055,20743.707818573,2729.5740744629,145481.175034851,836.443119537355,59500.9846223144,18800.8251731051,38335.7705449219,2058.81882072449,4920.51370941163,876852.197672974,4488.64131030274,6703.43022531128,24410.7390667419,889.38809111023,79393.6961821288,10288.2768550415,2145.86578179931,44043.0893213806,NA,207146.691160645,7071.69248468018,2716.38999275207,18096.0441721725,235985.86990892,12188.6694215317,97626.0755192795,221498.13818187
"PA14B_5","PA14B",12107.7515778351,611972.927847594,26079.1787924499,239.558334915162,70602.4266669922,18898.4722233429,64311.6541203613,20073.575033371,2263.65163697815,963.789287094132,10326.5033684387,4607.88678520204,40696.7912602539,6996.69257792663,11630.4457122497,NA,26338.3554880372,28797.1568217468,841138.732914977,1807.87181452942,9351.63184513855,113511.968570053,351.083765350341,7336.96175102235,16323.621779953,3881.58202533721,8950.31529881286,17132.9199590759,12089.2939508056,21353.1581317291,197555.064384338,239130.385012879,10210.5222898559,1116.91054718018,8003.03734463501,115375.583142975,81212.9455662534,12796.895199585,720.331842163092,456.434712364195,14749.4941094513,594.956536537169,9937.61241079713,30140.7864849396,12910.7713546143,7518.63839068604,1634.63285516357,88165.616006073,1947.76872674561,815273.194166443,6705.08883866882,8664.06058761596,32754.5920228424,47364.280165741,783.383824180603,283476.270158112,8079.55232424925,1209.72248176575,7236.40777095032,10605.5607106018,902.47202217102,10544.8283100891,3824.87942407226,33551.4985979004,4079.01583273316,27026.9945570984,3574.91422361756,252949.297206299,12542.8184553833,7147.09527880097,434.9245675354,856.268480323793,44338.5003667298,1449.85436819458,13196.5431652527,4635.04019958497,136548.922164612,1672.49122367859,53190.0782242433,12913.7047917186,44786.7946159058,4338.65272966004,5355.82823524472,1024354.21097437,4576.18700810241,7323.59324247741,20172.8379762268,1661.65600526428,78734.6551908875,9488.62464161682,2146.54560842896,44129.840429184,NA,192779.237338379,7376.75718847656,3378.26863745117,15661.3416715393,243167.028439545,13830.5661218338,106292.665094376,243322.528744492
"PA14B_6","PA14B",4849.65081201172,591275.931802857,25493.6549204407,546.824555770882,54415.8478900757,15600.1858417663,44591.96597583,9538.94743203735,2517.57107447052,342.685747604362,11721.5098873139,4372.28781317139,24442.6395802613,8376.48686784363,10969.3181903839,308.745584381096,20807.6867095947,28334.7318860474,798701.808553528,2044.8689417572,12820.8665484467,109223.234564957,1312.36825656128,5501.56598576356,15861.0124598236,4735.76049702452,9115.62474197388,17609.7719482727,12489.7659803467,16016.6122041168,180454.623894714,213454.204779205,9899.44854144286,1382.85441230774,6755.9371595459,105277.477898468,72596.2484111938,10219.7541408539,320.524957817079,567.977835899357,14487.2144474487,738.486437049868,9669.17565753174,31401.4528695221,13451.5655103989,7206.53380647277,1690.18841465759,86196.2677522278,2719.60522911072,836294.922116393,6578.11342749024,7691.770058609,77343.6230891495,40931.076829277,237.173684020998,245879.240170608,7019.0235839081,1210.39387666321,6767.24692004395,14695.9656849518,955.227973114013,9695.70393595881,2694.61845106506,32361.0346697998,3800.70018893432,27321.5360778198,1559.05501261139,244281.447541504,8613.63057766732,6292.09318910217,555.957069091797,1010.45060046387,41631.5999884567,1703.50713735962,15932.569315155,2403.20637860108,123501.626453644,982.22099102783,49591.1462456664,15948.8278637465,30831.8594767456,2282.88142726898,6426.21220832822,872526.63810315,4503.09209176636,7920.82228526306,19135.53692276,1216.15725140381,70599.7198788451,10437.625236496,3133.35429942322,37643.5112801208,NA,178421.952796387,8001.54422833252,1653.55459964752,16352.1317227554,235801.013752564,12613.4141561356,101067.64805719,211452.531208832
"F22031_7","F22031",7003.45726007079,620445.848056274,19767.8806645737,6444.72949137878,33715.9184910889,18940.9593562317,18377.547185791,9131.49391477965,4906.1822517395,213.965177154544,15817.3315383606,1355.27720263672,10049.2773163147,7813.3758155365,12892.1331639252,NA,41958.8890864868,27982.0139826661,842962.057078552,2006.50223728943,11367.5545250091,149032.609227081,10354.0137701569,4528.54043725588,17139.0828139801,5206.59292155458,10496.2897741394,15711.9586452331,3907.11300411988,16487.8828012696,278537.664201568,275169.450780884,3296.48222598267,2261.56851359559,2433.82333108521,57549.0008626709,28320.0193139954,10232.2610765228,6381.13747297667,802.419993347165,2855.58174508667,NA,5362.51061145019,22671.8513700714,17922.5339935303,4931.74809135438,2357.17628417969,68704.8776162109,3143.06998522949,855766.036891875,4435.32921294403,4030.53773840331,76272.0105537109,102651.610929047,2749.86439630127,73804.8659557648,13917.5978476258,1434.75416469574,7020.90052528381,12397.1299218903,NA,4420.16047856138,737.562331115716,10784.1877824097,2490.50950686646,15342.8711088791,8956.26585012817,273144.99461145,17571.1824923706,7254.79962504577,888.00647367859,1321.75154749298,50235.3543363036,3114.12316011047,22226.8321754153,1221.75565319824,229284.610399049,226.760162399293,27740.2320677337,14150.1995458306,43871.9214423828,3866.90479868317,6855.86409165955,860567.457896973,2591.57780810547,3739.47738578796,12820.746159607,2381.40212826538,116414.835703491,9393.8515825348,2709.9895375061,46079.9293064575,4095.17301605225,245437.139120117,8309.12430468749,2897.45110984802,21829.3493426209,97169.2777605286,NA,28663.945711441,62901.196197197
"F22031_8","F22031",7366.46055194093,649679.126549926,19776.3988769074,6231.75015318299,32013.6071079102,19596.9441529846,9725.10728292847,6325.8503164063,4712.78403808594,459.379276214596,15804.4290920715,1220.2251603241,13918.5007175903,8571.90486105346,308.263074859617,187.177185012826,51023.4232598113,28722.1993530121,877838.191803375,985.694829231262,3827.94116072083,123488.706172516,9416.54132550048,3347.92001174928,17685.3543450394,3707.93599024964,7553.70624884033,22025.8423863525,2801.23571771241,21365.188009613,317397.867627334,335370.454981979,3614.84479487609,2618.47403987121,2897.81120648194,69032.5180978088,36115.5760396881,16003.8287985535,3921.19242112731,805.501471374513,2712.28796191406,NA,5516.05163769531,21361.9615849152,18659.8475750275,7446.35008766174,2391.44962010193,71270.5802986145,1946.07949153137,810550.810294852,4856.63753124999,4420.36682687378,6353.23162626646,125390.122671768,2412.00970350647,109293.751562462,16065.809668274,934.083962409974,7262.33156884765,9746.74665515139,NA,4124.24667515564,2012.17300175476,10723.9764188538,2678.45011862182,14122.2017864227,4600.60527816772,366456.429974243,21290.7415151367,6515.00715255737,982.871678573609,1118.07787345886,50821.223019928,4672.16598977661,22411.3753063966,1184.83100762939,275079.901284302,814.673549011227,30687.9314391784,12893.8132990108,55252.5965829468,2132.32042089844,6623.56273236849,1183307.81246851,3514.14773143006,3785.7339740448,14045.3378925171,2018.0157763443,111524.861883087,10619.4493378906,2857.71526213074,57899.8184988405,3007.85551525879,322497.543738769,8497.30086145019,3019.4161055603,22828.3246178741,101694.892319839,NA,37624.8502259445,96498.1599725113
"F22031_9","F22031",6628.44523942568,553984.357626862,18185.1646300659,4227.64607336427,26038.1535064392,17768.0033123016,29768.2142919006,5048.05929234315,1851.85496238709,502.27443392945,11920.5673066559,405.7817237854,11496.7676939392,8571.94696150971,2077.61423263549,NA,46632.6460439758,21013.7063634491,740797.574939911,1926.32593069458,4315.20008557128,98446.0764992065,7093.93356036376,4001.77882125856,15875.9458115845,2601.3342628479,7247.81196556854,20656.8614552612,3511.43838755799,17820.6775990906,273709.102686615,243091.492874176,3668.07307507324,1995.91712109375,2668.14976199341,58858.0501431274,31371.4296960144,11053.1257068481,4589.38196321107,1678.81015685272,2414.18226332092,NA,5650.92389680481,19100.175039772,17213.1468906174,4381.5790764618,2026.42386593628,65166.8794916229,1745.59482743072,730234.666817764,4031.48968151855,3143.37175164795,7907.6331669159,130533.927876801,2346.17186068725,88993.9619270859,9302.67725201416,997.944116760253,6425.81985025025,6803.28932084658,NA,2709.19497410581,1117.92906661987,12247.18448703,2349.3276824646,14394.6004738922,2138.51102799988,221644.396155639,15693.3420726929,6284.75695289612,1158.50238934326,1039.98664588928,43666.4410297852,1533.62327862549,18155.5276844482,846.810207427978,195159.559374695,720.296106491089,23139.0006573792,10857.1134950794,31632.6604457703,3628.98114955139,5380.7593365326,1167092.26000122,3519.28919189453,4034.97523908996,12487.1207147217,2212.40082009888,95471.640682373,5006.52958798218,2902.65797909546,34959.1166154327,2143.40230686951,209463.770903808,8897.88769659423,2310.68727365112,20908.9436767807,84494.7532540817,NA,28482.4220057526,75259.2747901688
"F30658_10","F30658",5423.34838618469,640559.836397828,35495.705889267,NA,73013.6659459533,15115.4657355957,11563.414064209,4329.68978688049,2996.93190594483,NA,18113.2166120758,4388.78308397674,6511.70342980957,6987.99317068481,10417.6329537353,NA,29161.3236729431,45927.6247273712,868253.79360077,867.180330444336,12817.7269308166,69886.8056559449,829.003513183592,11887.5044506378,20891.5835489349,4312.77417013551,8172.47753790282,15544.0320298767,7634.86058898924,19698.2326201174,209230.489515618,240550.800587677,8132.03946598815,NA,6288.82285876465,135868.949499283,65550.4147966306,16958.1478883057,20141.0722535553,1682.87153353119,2700.53995175171,1180.37099610901,33790.112729065,29330.9911637573,16937.1866895142,1950.53315115357,1978.48910556793,60793.993929062,3201.03061760712,856686.338630096,9529.81601937866,7875.11822482301,2871933.00455176,11615.9646013184,2041.03454603576,161627.316392059,10342.037221222,1184.54397341919,3065.38202156067,12508.6564727173,1448.97868987274,9453.57758648676,3834.74065695191,46374.6036221008,4641.96201564025,26370.1566188049,6865.87849209595,331101.407870727,14841.0371522064,11266.5982543564,774.389575691223,2765.14188311767,31842.1876544952,8455.45033590701,38258.107012848,3255.48225817871,154900.989176819,408.262380477905,35037.9922771606,13066.0508615278,59970.1913492433,1350.12713853455,6841.83413993838,932218.179884888,5739.77921667481,6699.43557501221,48370.7701968078,2220.97527734375,80384.309136444,8419.28199050903,2244.26894281006,25113.3581707611,419.478385818481,176875.310275879,6585.94178356933,3756.15534214783,20092.0462970123,211097.097118286,9114.51314968109,69384.4544590607,122755.780326683
